Date,SPY.AX,STW.AX,VAS.AX
2015-09-25,274.798583984375,47.810001373291016,65.18000030517578
2015-09-28,273.0,48.43000030517578,65.8499984741211
2015-09-29,270.0,46.630001068115234,63.58000183105469
2015-09-30,270.0299987792969,47.58000183105469,64.55000305175781
2015-10-01,271.7799987792969,48.43000030517578,65.0999984741211
2015-10-02,274.2200012207031,47.849998474121094,64.2300033569336
2015-10-05,275.510009765625,48.7400016784668,65.5999984741211
2015-10-06,277.510009765625,48.95000076293945,65.5999984741211
2015-10-07,274.70001220703125,49.22999954223633,65.95999908447266
2015-10-08,276.2699890136719,49.38999938964844,66.2300033569336
2015-10-09,276.8699951171875,49.97999954223633,67.0
2015-10-12,274.7699890136719,49.599998474121094,66.44000244140625
2015-10-13,274.54998779296875,49.25,66.06999969482422
2015-10-14,276.9800109863281,49.20000076293945,66.16000366210938
2015-10-15,273.2300109863281,49.5099983215332,66.4000015258789
2015-10-16,277.95001220703125,49.9900016784668,67.37000274658203
2015-10-19,280.1400146484375,49.84000015258789,67.05999755859375
2015-10-20,280.0,49.56999969482422,66.79000091552734
2015-10-21,279.5899963378906,49.65999984741211,66.83999633789062
2015-10-22,284.13787841796875,49.84000015258789,66.97000122070312
2015-10-23,285.4100036621094,50.65999984741211,67.94999694824219
2015-10-26,285.19976806640625,50.65999984741211,68.25
2015-10-27,285.5724182128906,50.72999954223633,67.97000122070312
2015-10-28,290.29998779296875,50.529998779296875,68.0
2015-10-29,293.739990234375,49.869998931884766,67.23999786376953
2015-10-30,294.92999267578125,49.650001525878906,66.80000305175781
2015-11-02,290.42999267578125,48.959999084472656,65.75
2015-11-03,294.2560119628906,49.65999984741211,66.5
2015-11-04,293.8929138183594,49.65999984741211,66.69999694824219
2015-11-05,294.0726013183594,49.2599983215332,66.23999786376953
2015-11-06,293.7099914550781,49.59000015258789,66.5999984741211
2015-11-09,298.20001220703125,48.68000030517578,65.5
2015-11-10,295.82000732421875,48.45000076293945,65.05999755859375
2015-11-11,295.7699890136719,48.900001525878906,65.5
2015-11-12,291.70001220703125,48.90999984741211,65.5999984741211
2015-11-13,287.5899963378906,48.13999938964844,64.95999908447266
2015-11-16,283.8999938964844,47.7599983215332,64.19999694824219
2015-11-17,288.4752502441406,48.83000183105469,65.30000305175781
2015-11-18,294.7607116699219,48.959999084472656,65.83999633789062
2015-11-19,293.20001220703125,50.0,67.1500015258789
2015-11-20,289.2107849121094,50.130001068115234,67.12000274658203
2015-11-23,292.25,50.27000045776367,67.58999633789062
2015-11-24,290.29998779296875,49.81999969482422,67.02999877929688
2015-11-25,288.1700134277344,49.56999969482422,66.69000244140625
2015-11-26,290.25,49.689998626708984,66.87000274658203
2015-11-27,291.67999267578125,49.630001068115234,66.6500015258789
2015-11-30,287.7671203613281,49.33000183105469,66.19999694824219
2015-12-01,288.70001220703125,50.189998626708984,67.30999755859375
2015-12-02,287.6199951171875,50.18000030517578,67.43000030517578
2015-12-03,287.0,49.869998931884766,67.0
2015-12-04,285.0743713378906,49.130001068115234,66.0
2015-12-07,286.2641906738281,49.20000076293945,66.25
2015-12-08,287.0299987792969,48.7400016784668,65.5199966430664
2015-12-09,284.2785339355469,48.43000030517578,65.19999694824219
2015-12-10,282.8699951171875,48.060001373291016,64.58000183105469
2015-12-11,283.6499938964844,47.95000076293945,64.30000305175781
2015-12-14,282.6499938964844,47.02000045776367,63.279998779296875
2015-12-15,281.0,46.849998474121094,63.15999984741211
2015-12-16,289.1704406738281,47.939998626708984,64.25
2015-12-17,290.25,48.65999984741211,65.41999816894531
2015-12-18,285.0,48.689998626708984,65.30999755859375
2015-12-21,280.6600036621094,48.77000045776367,65.4800033569336
2015-12-22,281.3100280761719,48.849998474121094,65.55999755859375
2015-12-23,282.5799865722656,49.09000015258789,66.04000091552734
2015-12-24,284.95001220703125,49.56999969482422,66.77999877929688
2015-12-29,285.95001220703125,49.20000076293945,67.47000122070312
2015-12-30,282.4171142578125,49.65999984741211,68.2300033569336
2015-12-31,280.4145202636719,49.38999938964844,68.12000274658203
2016-01-04,280.20001220703125,49.15999984741211,66.62000274658203
2016-01-05,280.510009765625,48.36000061035156,65.58000183105469
2016-01-06,281.40948486328125,47.790000915527344,64.9800033569336
2016-01-07,276.4328918457031,46.7400016784668,63.65999984741211
2016-01-08,277.05999755859375,46.54999923706055,63.43000030517578
2016-01-11,273.7200012207031,46.06999969482422,62.56999969482422
2016-01-12,274.70001220703125,45.959999084472656,62.150001525878906
2016-01-13,269.8924560546875,46.56999969482422,63.099998474121094
2016-01-14,272.6000061035156,45.77000045776367,62.209999084472656
2016-01-15,274.260009765625,45.650001525878906,61.869998931884766
2016-01-18,272.8900146484375,45.36000061035156,61.70000076293945
2016-01-19,274.6400146484375,45.720001220703125,62.189998626708984
2016-01-20,271.0,45.189998626708984,61.529998779296875
2016-01-21,268.82183837890625,45.41999816894531,61.59000015258789
2016-01-22,267.07000732421875,45.91999816894531,62.25
2016-01-25,269.0529479980469,46.709999084472656,63.349998474121094
2016-01-27,269.260009765625,46.16999816894531,62.599998474121094
2016-01-28,268.1199951171875,46.470001220703125,63.060001373291016
2016-01-29,274.0865783691406,46.66999816894531,63.5
2016-02-01,273.67999267578125,47.09000015258789,64.0999984741211
2016-02-02,271.20001220703125,46.61000061035156,63.11000061035156
2016-02-03,268.96783447265625,45.529998779296875,61.970001220703125
2016-02-04,264.9568176269531,46.38999938964844,63.029998779296875
2016-02-05,266.67999267578125,46.40999984741211,62.88999938964844
2016-02-08,265.7200012207031,46.400001525878906,62.939998626708984
2016-02-09,262.7099914550781,45.04999923706055,61.25
2016-02-10,261.3467712402344,44.54999923706055,60.540000915527344
2016-02-11,258.60687255859375,45.060001373291016,61.040000915527344
2016-02-12,257.7900085449219,44.560001373291016,60.400001525878906
2016-02-15,263.57000732421875,45.25,61.150001525878906
2016-02-16,264.9800109863281,45.9900016784668,62.27000045776367
2016-02-17,269.0462951660156,45.689998626708984,62.209999084472656
2016-02-18,269.7699890136719,46.75,63.36000061035156
2016-02-19,270.8057556152344,46.380001068115234,62.880001068115234
2016-02-22,268.6700134277344,46.88999938964844,63.810001373291016
2016-02-23,268.0,46.68000030517578,63.20000076293945
2016-02-24,269.3890686035156,45.72999954223633,61.97999954223633
2016-02-25,270.1000061035156,45.83000183105469,62.29999923706055
2016-02-26,270.29998779296875,45.790000915527344,62.16999816894531
2016-02-29,273.45001220703125,45.900001525878906,62.439998626708984
2016-03-01,277.1123046875,46.369998931884766,62.90999984741211
2016-03-02,274.1142272949219,47.31999969482422,64.16000366210938
2016-03-03,273.0,47.900001525878906,64.83999633789062
2016-03-04,271.8500061035156,47.959999084472656,65.26000213623047
2016-03-07,270.0,48.54999923706055,65.80999755859375
2016-03-08,269.0799865722656,48.189998626708984,65.4000015258789
2016-03-09,268.2699890136719,48.68000030517578,65.83000183105469
2016-03-10,267.2799987792969,48.650001525878906,66.08000183105469
